abstract_id,title,abstract,label,label_encoded,combined_text
30872385,comparison of methodology for the detection of braf mutation in bone marrow trephine specimen,aim braf ve detection assist in the diagnosis of hairy cell leukaemia hcl however testing practice vary we evaluated the clinical utility of braf mutation testing strategy for use on bone marrow trephine bmt method hcl hcl mimic treated hcl and normal bmt specimen were tested for mutant braf comparing sanger sequencing pyrosequencing ampliconbased next generation sequencing ng automated idylla pcr and immunohistochemistry ihc result pcr and ihc were cheaper and identified ve in of hcl case pyrosequencing detected the mutation in ng in of case and sanger sequencing in all assay gave wildtype braf result in hcl mimic and normal bmt sample conclusion pcr and ihc were most sensitive and costeffective but these have limited scope for multiplexing and are likely to be replaced by ng gene panel or whole genome sequencing in the medium to long term,Cancer,0,comparison of methodology for the detection of braf mutation in bone marrow trephine specimen aim braf ve detection assist in the diagnosis of hairy cell leukaemia hcl however testing practice vary we evaluated the clinical utility of braf mutation testing strategy for use on bone marrow trephine bmt method hcl hcl mimic treated hcl and normal bmt specimen were tested for mutant braf comparing sanger sequencing pyrosequencing ampliconbased next generation sequencing ng automated idylla pcr and immunohistochemistry ihc result pcr and ihc were cheaper and identified ve in of hcl case pyrosequencing detected the mutation in ng in of case and sanger sequencing in all assay gave wildtype braf result in hcl mimic and normal bmt sample conclusion pcr and ihc were most sensitive and costeffective but these have limited scope for multiplexing and are likely to be replaced by ng gene panel or whole genome sequencing in the medium to long term
30873683,tumour biomarkerstracing the molecular function and clinical implication,in recent year with the increase in cancer mortality caused by metastasis and with the development of individualized and precise medical treatment early diagnosis with precision becomes the key to decrease the death rate since detecting tumour biomarkers in body fluid is the most noninvasive way to identify the status of tumour development it ha been widely investigated for the usage in clinic these biomarkers include different expression or mutation in micrornas mirnas circulating tumour dna ctdnas protein exosomes and circulating tumour cell ctc in the present article we summarized and discussed some updated research on these biomarkers we overviewed their biological function and evaluated their multiple role in human and small animal clinical treatment including diagnosis of cancer classification of cancer prognostic and predictive value for therapy response monitor for therapy efficacy and anticancer therapeutic biomarkers including different expression or mutation in mirnas ctdnas protein exosomes and ctc provide more choice for early diagnosis of tumour detection at early stage before metastasis combination detection of these tumour biomarkers may provide higher accuracy at the lowest molecule combination number for tumour early detection moreover tumour biomarkers can provide valuable suggestion for clinical anticancer treatment and execute monitoring of treatment efficiency,Cancer,0,tumour biomarkerstracing the molecular function and clinical implication in recent year with the increase in cancer mortality caused by metastasis and with the development of individualized and precise medical treatment early diagnosis with precision becomes the key to decrease the death rate since detecting tumour biomarkers in body fluid is the most noninvasive way to identify the status of tumour development it ha been widely investigated for the usage in clinic these biomarkers include different expression or mutation in micrornas mirnas circulating tumour dna ctdnas protein exosomes and circulating tumour cell ctc in the present article we summarized and discussed some updated research on these biomarkers we overviewed their biological function and evaluated their multiple role in human and small animal clinical treatment including diagnosis of cancer classification of cancer prognostic and predictive value for therapy response monitor for therapy efficacy and anticancer therapeutic biomarkers including different expression or mutation in mirnas ctdnas protein exosomes and ctc provide more choice for early diagnosis of tumour detection at early stage before metastasis combination detection of these tumour biomarkers may provide higher accuracy at the lowest molecule combination number for tumour early detection moreover tumour biomarkers can provide valuable suggestion for clinical anticancer treatment and execute monitoring of treatment efficiency
30874851,pomalidomide cyclophosphamide and dexamethasone for relapsedrefractory multiple myeloma patient in a reallife setting a singlecenter retrospective study,pomalidomide dexamethasone is a standard of care for relapsed multiple myeloma mm patient who received at least two prior line of therapy including both lenalidomide and proteasome inhibitor pi we report here a reallife singlecenter series of consecutive patient with relapsed and refractory mm treated with the triplet pomalidomide cyclophosphamide dexamethasone pcd combination the median of prior line of therapy wa and all patient were previously exposed to proteasome inhibitor and lenalidomide the overall response rate wa including very good partial response or better with a median followup of month the median progressionfree survival pfs wa month and the median overall survival wa not reached regarding safety most frequent toxicity wa hematologic including grade cytopenia nine patient discontinued therapy due to adverse event our study confirms that pcd combination is feasible and result in favorable response rate and pfs in comparison with pomalidomide dexamethasone alone,Cancer,0,pomalidomide cyclophosphamide and dexamethasone for relapsedrefractory multiple myeloma patient in a reallife setting a singlecenter retrospective study pomalidomide dexamethasone is a standard of care for relapsed multiple myeloma mm patient who received at least two prior line of therapy including both lenalidomide and proteasome inhibitor pi we report here a reallife singlecenter series of consecutive patient with relapsed and refractory mm treated with the triplet pomalidomide cyclophosphamide dexamethasone pcd combination the median of prior line of therapy wa and all patient were previously exposed to proteasome inhibitor and lenalidomide the overall response rate wa including very good partial response or better with a median followup of month the median progressionfree survival pfs wa month and the median overall survival wa not reached regarding safety most frequent toxicity wa hematologic including grade cytopenia nine patient discontinued therapy due to adverse event our study confirms that pcd combination is feasible and result in favorable response rate and pfs in comparison with pomalidomide dexamethasone alone
30875581,aggressive variant of prostate cancer are we ready to apply specific treatment right now,recently adoption of novel drug for systemic treatment of metastatic prostate cancer ha led to a striking improvement of response rate and survival in both hormonesensitive and castrationresistant disease in most case prostate cancer essentially depends on androgen receptor signaling axis even in castrationresistant setting and hence may be targeted by second generation hormonal therapy however a subset of patient bear androgenindependent cancer biology with a shortterm response to hormonal treatment early and extensive visceral metastasis low psa level and poor outcome identification and specific management of these rapidly fatal malignancy is of an unmet medical need since their classification and utilized therapeutic regimen vary significantly unfortunately molecular pathway have not been sufficiently elucidated yet in order to provide an effective targeted treatment with a prolonged response lack of diagnostic and predictive biomarkers for these cancer make successful counteraction against them even more sophisticated in this comprehensive review we aimed at summarizing the current body of literature reporting on causal molecular machinery a well a diagnostic and therapeutic concept of aggressive prostate tumor and draw clinically relevant conclusion for the uptodate sensible disease management,Cancer,0,aggressive variant of prostate cancer are we ready to apply specific treatment right now recently adoption of novel drug for systemic treatment of metastatic prostate cancer ha led to a striking improvement of response rate and survival in both hormonesensitive and castrationresistant disease in most case prostate cancer essentially depends on androgen receptor signaling axis even in castrationresistant setting and hence may be targeted by second generation hormonal therapy however a subset of patient bear androgenindependent cancer biology with a shortterm response to hormonal treatment early and extensive visceral metastasis low psa level and poor outcome identification and specific management of these rapidly fatal malignancy is of an unmet medical need since their classification and utilized therapeutic regimen vary significantly unfortunately molecular pathway have not been sufficiently elucidated yet in order to provide an effective targeted treatment with a prolonged response lack of diagnostic and predictive biomarkers for these cancer make successful counteraction against them even more sophisticated in this comprehensive review we aimed at summarizing the current body of literature reporting on causal molecular machinery a well a diagnostic and therapeutic concept of aggressive prostate tumor and draw clinically relevant conclusion for the uptodate sensible disease management
30875950,circulating tumour cell ctc head and neck cancer and radiotherapy future perspective,head and neck cancer is the seventh most common cancer in australia and globally despite the current improved treatment modality there is still up to local regional recurrence and or distant metastasis highresolution medical imaging technology such a petct and mri do not currently detect the early spread of tumour cell thus limiting the potential for effective minimal residual detection and early diagnosis circulating tumour cell ctc are a rare subset of cell that escape from the primary tumour and enter into the bloodstream to form metastatic deposit or even reestablish themselves in the primary site of the cancer these cell are more aggressive and accumulate gene alteration by somatic mutation that are the same or even greater than the primary tumour because of additional feature acquired in the circulation the potential application of ctc in clinical use is to acquire a liquid biopsy by taking a reliable minimally invasive venous blood sample for cell genotyping during radiotherapy treatment to monitor the decline in ctc detectability and mutational change in response to radiation resistance and radiation sensitivity currently very little ha been published on radiation therapy ctc and circulating cancer stem cell ccscs the prognostic value of ctc in cancer management and personalised medicine for head and neck cancer radiotherapy patient requires a deeper understanding at the cellular level along with other advanced technology with this goal this review summarises the current research of head and neck cancer ctc ccsc and the molecular target for personalised radiotherapy response,Cancer,0,circulating tumour cell ctc head and neck cancer and radiotherapy future perspective head and neck cancer is the seventh most common cancer in australia and globally despite the current improved treatment modality there is still up to local regional recurrence and or distant metastasis highresolution medical imaging technology such a petct and mri do not currently detect the early spread of tumour cell thus limiting the potential for effective minimal residual detection and early diagnosis circulating tumour cell ctc are a rare subset of cell that escape from the primary tumour and enter into the bloodstream to form metastatic deposit or even reestablish themselves in the primary site of the cancer these cell are more aggressive and accumulate gene alteration by somatic mutation that are the same or even greater than the primary tumour because of additional feature acquired in the circulation the potential application of ctc in clinical use is to acquire a liquid biopsy by taking a reliable minimally invasive venous blood sample for cell genotyping during radiotherapy treatment to monitor the decline in ctc detectability and mutational change in response to radiation resistance and radiation sensitivity currently very little ha been published on radiation therapy ctc and circulating cancer stem cell ccscs the prognostic value of ctc in cancer management and personalised medicine for head and neck cancer radiotherapy patient requires a deeper understanding at the cellular level along with other advanced technology with this goal this review summarises the current research of head and neck cancer ctc ccsc and the molecular target for personalised radiotherapy response
30878128,alk rearrangement biology detection and opportunity of therapy in nonsmall cell lung cancer,the alk receptor tyrosine kinase alk gene encodes a transmembrane protein rearranged in of nonsmall cell lung cancer nsclc case this gene ha become the second most studied therapeutic target after egfr due to the implied therapeutic opportunity while the diagnostic of alk rearrangement is well established small molecule targeting alk are in constant evolution because tumor cell eventually will develop mechanism of resistance in this review we describe the biology of the alk gene alteration epidemiology diagnostic test a well a strategy of treatment,Cancer,0,alk rearrangement biology detection and opportunity of therapy in nonsmall cell lung cancer the alk receptor tyrosine kinase alk gene encodes a transmembrane protein rearranged in of nonsmall cell lung cancer nsclc case this gene ha become the second most studied therapeutic target after egfr due to the implied therapeutic opportunity while the diagnostic of alk rearrangement is well established small molecule targeting alk are in constant evolution because tumor cell eventually will develop mechanism of resistance in this review we describe the biology of the alk gene alteration epidemiology diagnostic test a well a strategy of treatment
30878469,aga clinical practice update on interaction between oral directacting antiviral for chronic hepatitis c infection and hepatocellular carcinoma expert review,description the purpose of this clinical practice update is to evaluate the evidence describing the interaction between directacting antiviral daa therapy for hepatitis and hepatocellular carcinoma hcc with regard to hcc incidence hcc recurrence and daa efficacy and to summarize best practice advice regarding hcc surveillance and timing of daa therapy method the recommendation outlined in this expert review are based on available published evidence including observational study and systematic review and incorporates expert opinion where applicable best practice advice daa treatment is associated with a reduction in the risk of incident hcc the relative risk reduction is similar in patient with and without cirrhosis best practice advice patient with advanced liver fibrosis f or cirrhosis should receive surveillance imaging before initiating daa treatment best practice advice patient with advanced liver fibrosis f or cirrhosis at the time of daa treatment represent the highestrisk group for hcc after daainduced sustained virologic response these patient should stay in hcc surveillance best practice advice hcc surveillance should be performed using ultrasound with or without alphafetoprotein every month current data do not support shorter surveillance interval or the use of alternative surveillance modality best practice advice future study may show a reduction in hcc risk over time after daainduced sustained virologic response however in the interim hcc surveillance should continue indefinitely if patient are otherwise eligible for potentially curative therapy best practice advice the presence of active hcc is associated with a small but statistically significant decrease in sustained virologic response with daa therapy best practice advice patient with hcc who are eligible for potentially curative therapy with liver resection or ablation should defer daa therapy until after hcc treatment is completed best practice advice timing of daa therapy for patient with hcc who are listed for liver transplantation should be determined with consideration of median wait time availability of hepatitis c viruspositive organ and degree of liver dysfunction best practice advice there are insufficient data evaluating benefit and costeffectiveness of daa therapy in patient with active intermediate or advanced hcc decision regarding daa treatment in these patient should be considered in light of hcc tumor burden degree of liver dysfunction life expectancy and patient preference best practice advice there are no conclusive data that daa therapy is associated with increased or decreased risk differential time to recurrence or aggressiveness of recurrent hcc in patient with complete response to hcc therapy best practice advice daa therapy should not be withheld from patient with complete response to hcc therapy however daa therapy can be deferred month to confirm response to hcc therapy best practice advice patient with complete response to hcc therapy who are treated with daas have a continued risk of hcc recurrence and require hcc surveillance which should be conducted indefinitely with dynamic contrastenhanced computed tomography or magnetic resonance imaging every month current data do not support more frequent surveillance in these patient this clinical practice update wa produced by the aga institute,Cancer,0,aga clinical practice update on interaction between oral directacting antiviral for chronic hepatitis c infection and hepatocellular carcinoma expert review description the purpose of this clinical practice update is to evaluate the evidence describing the interaction between directacting antiviral daa therapy for hepatitis and hepatocellular carcinoma hcc with regard to hcc incidence hcc recurrence and daa efficacy and to summarize best practice advice regarding hcc surveillance and timing of daa therapy method the recommendation outlined in this expert review are based on available published evidence including observational study and systematic review and incorporates expert opinion where applicable best practice advice daa treatment is associated with a reduction in the risk of incident hcc the relative risk reduction is similar in patient with and without cirrhosis best practice advice patient with advanced liver fibrosis f or cirrhosis should receive surveillance imaging before initiating daa treatment best practice advice patient with advanced liver fibrosis f or cirrhosis at the time of daa treatment represent the highestrisk group for hcc after daainduced sustained virologic response these patient should stay in hcc surveillance best practice advice hcc surveillance should be performed using ultrasound with or without alphafetoprotein every month current data do not support shorter surveillance interval or the use of alternative surveillance modality best practice advice future study may show a reduction in hcc risk over time after daainduced sustained virologic response however in the interim hcc surveillance should continue indefinitely if patient are otherwise eligible for potentially curative therapy best practice advice the presence of active hcc is associated with a small but statistically significant decrease in sustained virologic response with daa therapy best practice advice patient with hcc who are eligible for potentially curative therapy with liver resection or ablation should defer daa therapy until after hcc treatment is completed best practice advice timing of daa therapy for patient with hcc who are listed for liver transplantation should be determined with consideration of median wait time availability of hepatitis c viruspositive organ and degree of liver dysfunction best practice advice there are insufficient data evaluating benefit and costeffectiveness of daa therapy in patient with active intermediate or advanced hcc decision regarding daa treatment in these patient should be considered in light of hcc tumor burden degree of liver dysfunction life expectancy and patient preference best practice advice there are no conclusive data that daa therapy is associated with increased or decreased risk differential time to recurrence or aggressiveness of recurrent hcc in patient with complete response to hcc therapy best practice advice daa therapy should not be withheld from patient with complete response to hcc therapy however daa therapy can be deferred month to confirm response to hcc therapy best practice advice patient with complete response to hcc therapy who are treated with daas have a continued risk of hcc recurrence and require hcc surveillance which should be conducted indefinitely with dynamic contrastenhanced computed tomography or magnetic resonance imaging every month current data do not support more frequent surveillance in these patient this clinical practice update wa produced by the aga institute
30878600,concurrent driver gene mutation a negative predictive factor in epidermal growth factor receptorpositive nonsmall cell lung cancer,background tyrosine kinase inhibitor tkis are clinically effective in nonsmall cell lung cancer nsclc patient harbouring epidermal growth factor receptor egfr oncogene mutation genetic factor other than egfr sensitive mutation that allow prognosis of tki treatment remain undefined method we retrospectively screened consecutive patient with advanced nsclc and egfr del or lr mutation a total of patient whose progressionfree survival pfs were shorter than month or longer than month were included and stratified into separate group genetic background discrepancy wa analysed in the two group using next generation sequencing ng finding sensitive egfr mutation of del or lr were detected by ng in all patient the lr mutation wa the major type the most frequent accompanying somatic mutation were tp rb mapk alk fusion met amplification and braf ve were found only in the short pfs group concurrent pretreament t m mutation wa found in both group but wa proportionally higher in the short pfs group in the short pfs group patient had significantly more driver gene mutation than in long pfs group p the number of concomitant somatic mutation egfr pathwayrelated mutation and tumor mutation burden tmb were not significantly different between the two group interpretation cooccuring driver gene mutation were negative predictive factor of tki therapy in egfrmutated patient this study highlight the importance of exploring cooccuring genomic alteration before initiation of egfrtkis,Cancer,0,concurrent driver gene mutation a negative predictive factor in epidermal growth factor receptorpositive nonsmall cell lung cancer background tyrosine kinase inhibitor tkis are clinically effective in nonsmall cell lung cancer nsclc patient harbouring epidermal growth factor receptor egfr oncogene mutation genetic factor other than egfr sensitive mutation that allow prognosis of tki treatment remain undefined method we retrospectively screened consecutive patient with advanced nsclc and egfr del or lr mutation a total of patient whose progressionfree survival pfs were shorter than month or longer than month were included and stratified into separate group genetic background discrepancy wa analysed in the two group using next generation sequencing ng finding sensitive egfr mutation of del or lr were detected by ng in all patient the lr mutation wa the major type the most frequent accompanying somatic mutation were tp rb mapk alk fusion met amplification and braf ve were found only in the short pfs group concurrent pretreament t m mutation wa found in both group but wa proportionally higher in the short pfs group in the short pfs group patient had significantly more driver gene mutation than in long pfs group p the number of concomitant somatic mutation egfr pathwayrelated mutation and tumor mutation burden tmb were not significantly different between the two group interpretation cooccuring driver gene mutation were negative predictive factor of tki therapy in egfrmutated patient this study highlight the importance of exploring cooccuring genomic alteration before initiation of egfrtkis
30879681,inhibition of tumor growth by betaglucans through promoting cd t cell immunomodulation and neutrophilkilling in mouse,betaglucans are polysaccharide comprising betadglucoses with various bioactivities herein we extracted three betaglucans from lentinus edodes with different source and assessed their antitumor activity on a mouse model with intragastric intraperitoneal and intratumoral injection three polysaccharide were shown to have the same chemical structure of betaglucan with beta branch and exhibited s tumorsuppressing ability with good safety it wa found that betaglucans upregulated cd t cell level in lymphoid organ decreased by tumorburden indicating promotion of immunomodulation betaglucans targeted tumor in vivo even after oral or intraperitoneal injection furthermore betaglucans not only targeted to lymphoid organ and increased cd t cell number but also enhanced cd t cell and neutrophil population in tumor it wa proposed that betaglucans promoted cd t cell immunomodulation and neutrophil infiltration into tumor leading to tumor growth inhibition these finding reveal that betaglucans can be used a an effective agent for cancer immunotherapy,Cancer,0,inhibition of tumor growth by betaglucans through promoting cd t cell immunomodulation and neutrophilkilling in mouse betaglucans are polysaccharide comprising betadglucoses with various bioactivities herein we extracted three betaglucans from lentinus edodes with different source and assessed their antitumor activity on a mouse model with intragastric intraperitoneal and intratumoral injection three polysaccharide were shown to have the same chemical structure of betaglucan with beta branch and exhibited s tumorsuppressing ability with good safety it wa found that betaglucans upregulated cd t cell level in lymphoid organ decreased by tumorburden indicating promotion of immunomodulation betaglucans targeted tumor in vivo even after oral or intraperitoneal injection furthermore betaglucans not only targeted to lymphoid organ and increased cd t cell number but also enhanced cd t cell and neutrophil population in tumor it wa proposed that betaglucans promoted cd t cell immunomodulation and neutrophil infiltration into tumor leading to tumor growth inhibition these finding reveal that betaglucans can be used a an effective agent for cancer immunotherapy
30880225,a comprehensive study of epigenetic alteration in hepatocellular carcinoma identifies potential therapeutic target,background aim a causal link ha recently been established between epigenetic alteration and hepatocarcinogenesis indicating that epigenetic inhibition may have therapeutic potential we aimed to identify and target epigenetic modifier that show molecular alteration in hepatocellular carcinoma hcc method we studied the molecularclinical correlation of epigenetic modifier including bromodomains histone acetyltransferases lysine methyltransferases and lysine demethylases in hcc using the cancer genome atlas tcga data of patient with hcc the therapeutic potential of epigenetic inhibitor wa evaluated in vitro and in vivo rna sequencing analysis and it correlation with expression and clinical data in the tcga dataset were used to identify expression program normalized by jumonji lysine demethylase jmjc inhibitor result genetic alteration aberrant expression and correlation between tumor expression and poor patient prognosis of epigenetic enzyme are common event in hcc epigenetic inhibitor that target bromodomain jq lysine methyltransferases bix and lly and jmjc lysine demethylases jib gskj and sd reduce hcc aggressiveness the panjmjc inhibitor jib had a potent antitumor effect in tumor bearing mouse hcc cell treated with jmjc inhibitor showed overlapping change in expression program related with inhibition of cell proliferation and induction of cell death jmjc inhibition revers an aggressive hcc gene expression program that is also altered in patient with hcc several gene downregulated by jmjc inhibitor are highly expressed in tumor v nontumor parenchyma and their high expression correlate with a poor prognosis we identified and validated a gene expression prognostic signature consisting of cenpa kifa plk and ncapg conclusion the epigenetic alteration identified in hcc can be used to predict prognosis and to define a subgroup of highrisk patient that would potentially benefit from jmjc inhibitor therapy lay summary in this study we found that mutation and change in expression of epigenetic modifier are common event in human hepatocellular carcinoma leading to an aggressive gene expression program and poor clinical prognosis the transcriptional program can be reversed by pharmacological inhibition of jumonji enzyme this inhibition block hepatocellular carcinoma progression providing a novel potential therapeutic strategy,Cancer,0,a comprehensive study of epigenetic alteration in hepatocellular carcinoma identifies potential therapeutic target background aim a causal link ha recently been established between epigenetic alteration and hepatocarcinogenesis indicating that epigenetic inhibition may have therapeutic potential we aimed to identify and target epigenetic modifier that show molecular alteration in hepatocellular carcinoma hcc method we studied the molecularclinical correlation of epigenetic modifier including bromodomains histone acetyltransferases lysine methyltransferases and lysine demethylases in hcc using the cancer genome atlas tcga data of patient with hcc the therapeutic potential of epigenetic inhibitor wa evaluated in vitro and in vivo rna sequencing analysis and it correlation with expression and clinical data in the tcga dataset were used to identify expression program normalized by jumonji lysine demethylase jmjc inhibitor result genetic alteration aberrant expression and correlation between tumor expression and poor patient prognosis of epigenetic enzyme are common event in hcc epigenetic inhibitor that target bromodomain jq lysine methyltransferases bix and lly and jmjc lysine demethylases jib gskj and sd reduce hcc aggressiveness the panjmjc inhibitor jib had a potent antitumor effect in tumor bearing mouse hcc cell treated with jmjc inhibitor showed overlapping change in expression program related with inhibition of cell proliferation and induction of cell death jmjc inhibition revers an aggressive hcc gene expression program that is also altered in patient with hcc several gene downregulated by jmjc inhibitor are highly expressed in tumor v nontumor parenchyma and their high expression correlate with a poor prognosis we identified and validated a gene expression prognostic signature consisting of cenpa kifa plk and ncapg conclusion the epigenetic alteration identified in hcc can be used to predict prognosis and to define a subgroup of highrisk patient that would potentially benefit from jmjc inhibitor therapy lay summary in this study we found that mutation and change in expression of epigenetic modifier are common event in human hepatocellular carcinoma leading to an aggressive gene expression program and poor clinical prognosis the transcriptional program can be reversed by pharmacological inhibition of jumonji enzyme this inhibition block hepatocellular carcinoma progression providing a novel potential therapeutic strategy
